,2017_a,2050_a,Diff,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
0,0.0,3.242955323,0.09827137342424241,0.0,0.09827137342424241,0.19654274684848483,0.29481412027272724,0.39308549369696966,0.49135686712121207,0.5896282405454545,0.6878996139696969,0.7861709873939393,0.8844423608181817,0.9827137342424241,1.0809851076666666,1.179256481090909,1.2775278545151514,1.3757992279393938,1.4740706013636362,1.5723419747878786,1.670613348212121,1.7688847216363635,1.8671560950606059,1.9654274684848483,2.0636988419090905,2.1619702153333327,2.260241588757575,2.358512962181817,2.4567843356060592,2.5550557090303014,2.6533270824545436,2.751598455878786,2.849869829303028,2.94814120272727,3.0464125761515124,3.1446839495757546,3.242955322999997
1,3.035513836,3.501118714,0.014109238727272733,3.035513836,3.0496230747272723,3.063732313454545,3.0778415521818174,3.09195079090909,3.1060600296363625,3.120169268363635,3.1342785070909076,3.14838774581818,3.1624969845454527,3.1766062232727252,3.190715461999998,3.2048247007272703,3.218933939454543,3.2330431781818154,3.247152416909088,3.2612616556363605,3.275370894363633,3.2894801330909056,3.303589371818178,3.3176986105454507,3.331807849272723,3.3459170879999958,3.3600263267272683,3.374135565454541,3.3882448041818134,3.402354042909086,3.4164632816363585,3.430572520363631,3.4446817590909036,3.458790997818176,3.4729002365454487,3.487009475272721,3.5011187139999937
2,3.035513836,3.501808168,0.014130131272727284,3.035513836,3.049643967272727,3.063774098545454,3.077904229818181,3.0920343610909082,3.1061644923636353,3.1202946236363625,3.1344247549090896,3.1485548861818167,3.162685017454544,3.176815148727271,3.190945279999998,3.205075411272725,3.219205542545452,3.2333356738181793,3.2474658050909064,3.2615959363636335,3.2757260676363606,3.2898561989090878,3.303986330181815,3.318116461454542,3.332246592727269,3.346376723999996,3.3605068552727233,3.3746369865454504,3.3887671178181775,3.4028972490909046,3.4170273803636317,3.431157511636359,3.445287642909086,3.459417774181813,3.47354790545454,3.4876780367272673,3.5018081679999944
3,3.035513836,3.499331834,0.014055090848484853,3.035513836,3.0495689268484845,3.063624017696969,3.077679108545454,3.0917341993939385,3.105789290242423,3.119844381090908,3.1338994719393924,3.147954562787877,3.1620096536363618,3.1760647444848464,3.190119835333331,3.2041749261818158,3.2182300170303004,3.232285107878785,3.2463401987272698,3.2603952895757544,3.274450380424239,3.2885054712727237,3.3025605621212084,3.316615652969693,3.3306707438181777,3.3447258346666624,3.358780925515147,3.3728360163636317,3.3868911072121164,3.400946198060601,3.4150012889090857,3.4290563797575704,3.443111470606055,3.4571665614545397,3.4712216523030244,3.485276743151509,3.4993318339999937
4,3.035513836,3.499233373,0.014052107181818188,3.035513836,3.049565943181818,3.063618050363636,3.077670157545454,3.091722264727272,3.10577437190909,3.119826479090908,3.133878586272726,3.147930693454544,3.161982800636362,3.17603490781818,3.1900870149999982,3.2041391221818163,3.2181912293636343,3.2322433365454524,3.2462954437272704,3.2603475509090885,3.2743996580909065,3.2884517652727245,3.3025038724545426,3.3165559796363606,3.3306080868181787,3.3446601939999967,3.3587123011818147,3.372764408363633,3.386816515545451,3.400868622727269,3.414920729909087,3.428972837090905,3.443024944272723,3.457077051454541,3.471129158636359,3.485181265818177,3.499233372999995
5,3.035513836,3.334533654,0.009061206606060608,3.035513836,3.0445750426060605,3.053636249212121,3.062697455818182,3.0717586624242426,3.0808198690303032,3.089881075636364,3.0989422822424246,3.1080034888484853,3.117064695454546,3.1261259020606067,3.1351871086666674,3.144248315272728,3.1533095218787888,3.1623707284848495,3.17143193509091,3.180493141696971,3.1895543483030315,3.198615554909092,3.207676761515153,3.2167379681212136,3.2257991747272743,3.234860381333335,3.2439215879393957,3.2529827945454564,3.262044001151517,3.2711052077575777,3.2801664143636384,3.289227620969699,3.29828882757576,3.3073500341818205,3.316411240787881,3.325472447393942,3.3345336540000026
6,3.035513836,3.503145104,0.014170644484848494,3.035513836,3.0496844804848484,3.063855124969697,3.0780257694545456,3.0921964139393943,3.106367058424243,3.1205377029090915,3.13470834739394,3.1488789918787887,3.1630496363636373,3.177220280848486,3.1913909253333346,3.205561569818183,3.219732214303032,3.2339028587878804,3.248073503272729,3.2622441477575777,3.2764147922424263,3.290585436727275,3.3047560812121235,3.318926725696972,3.3330973701818207,3.3472680146666693,3.361438659151518,3.3756093036363666,3.389779948121215,3.403950592606064,3.4181212370909124,3.432291881575761,3.4464625260606097,3.4606331705454583,3.474803815030307,3.4889744595151555,3.503145104000004
7,0.0,2.839356794,0.08604111496969696,0.0,0.08604111496969696,0.17208222993939393,0.2581233449090909,0.34416445987878785,0.4302055748484848,0.5162466898181818,0.6022878047878788,0.6883289197575757,0.7743700347272726,0.8604111496969695,0.9464522646666664,1.0324933796363633,1.1185344946060602,1.2045756095757572,1.290616724545454,1.376657839515151,1.4626989544848479,1.5487400694545448,1.6347811844242417,1.7208222993939386,1.8068634143636355,1.8929045293333324,1.9789456443030293,2.0649867592727262,2.1510278742424234,2.2370689892121205,2.3231101041818176,2.4091512191515148,2.495192334121212,2.581233449090909,2.667274564060606,2.7533156790303033,2.8393567940000004
8,2.872956454,3.099848761,0.006875524454545453,2.872956454,2.8798319784545456,2.886707502909091,2.8935830273636367,2.9004585518181822,2.9073340762727278,2.9142096007272733,2.921085125181819,2.9279606496363644,2.93483617409091,2.9417116985454554,2.948587223000001,2.9554627474545465,2.962338271909092,2.9692137963636376,2.976089320818183,2.9829648452727286,2.989840369727274,2.9967158941818197,3.0035914186363653,3.010466943090911,3.0173424675454563,3.024217992000002,3.0310935164545474,3.037969040909093,3.0448445653636385,3.051720089818184,3.0585956142727295,3.065471138727275,3.0723466631818206,3.079222187636366,3.0860977120909117,3.092973236545457,3.0998487610000027
9,2.872956454,3.29549322,0.01280414442424242,2.872956454,2.8857605984242425,2.898564742848485,2.9113688872727272,2.9241730316969696,2.936977176121212,2.9497813205454544,2.9625854649696968,2.975389609393939,2.9881937538181815,3.000997898242424,3.0138020426666663,3.0266061870909087,3.039410331515151,3.0522144759393934,3.065018620363636,3.077822764787878,3.0906269092121206,3.103431053636363,3.1162351980606053,3.1290393424848477,3.14184348690909,3.1546476313333325,3.167451775757575,3.1802559201818172,3.1930600646060596,3.205864209030302,3.2186683534545444,3.2314724978787868,3.244276642303029,3.2570807867272715,3.269884931151514,3.2826890755757563,3.2954932199999987
