,2017_a,2050_a,Diff,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
0,0.0,0.19802531,0.00600076696969697,0.0,0.00600076696969697,0.01200153393939394,0.01800230090909091,0.02400306787878788,0.03000383484848485,0.03600460181818182,0.04200536878787879,0.04800613575757576,0.054006902727272724,0.06000766969696969,0.06600843666666666,0.07200920363636362,0.07800997060606059,0.08401073757575755,0.09001150454545452,0.09601227151515149,0.10201303848484845,0.10801380545454542,0.11401457242424239,0.12001533939393935,0.12601610636363633,0.1320168733333333,0.1380176403030303,0.14401840727272727,0.15001917424242425,0.15601994121212123,0.1620207081818182,0.1680214751515152,0.17402224212121217,0.18002300909090915,0.18602377606060613,0.1920245430303031,0.1980253100000001
1,0.0,0.162661899,0.004929148454545455,0.0,0.004929148454545455,0.00985829690909091,0.014787445363636364,0.01971659381818182,0.024645742272727273,0.029574890727272728,0.034504039181818186,0.03943318763636364,0.04436233609090909,0.04929148454545454,0.05422063299999999,0.05914978145454544,0.06407892990909089,0.06900807836363634,0.0739372268181818,0.07886637527272725,0.0837955237272727,0.08872467218181815,0.0936538206363636,0.09858296909090905,0.1035121175454545,0.10844126599999995,0.1133704144545454,0.11829956290909086,0.1232287113636363,0.12815785981818176,0.1330870082727272,0.13801615672727266,0.1429453051818181,0.14787445363636356,0.152803602090909,0.15773275054545446,0.16266189899999992
2,0.0,0.168450216,0.005104552,0.0,0.005104552,0.010209104,0.015313656,0.020418208,0.02552276,0.030627311999999997,0.035731863999999995,0.04083641599999999,0.04594096799999999,0.05104551999999999,0.05615007199999999,0.06125462399999999,0.06635917599999999,0.07146372799999999,0.07656827999999999,0.08167283199999999,0.08677738399999999,0.09188193599999998,0.09698648799999998,0.10209103999999998,0.10719559199999998,0.11230014399999998,0.11740469599999998,0.12250924799999997,0.12761379999999997,0.13271835199999998,0.137822904,0.142927456,0.14803200800000002,0.15313656000000003,0.15824111200000004,0.16334566400000006,0.16845021600000007
3,0.0,0.002109183,6.391463636363637e-05,0.0,6.391463636363637e-05,0.00012782927272727274,0.00019174390909090913,0.0002556585454545455,0.00031957318181818185,0.0003834878181818182,0.00044740245454545456,0.000511317090909091,0.0005752317272727273,0.0006391463636363637,0.000703061,0.0007669756363636364,0.0008308902727272728,0.0008948049090909091,0.0009587195454545455,0.001022634181818182,0.0010865488181818184,0.0011504634545454549,0.0012143780909090914,0.0012782927272727278,0.0013422073636363643,0.0014061220000000008,0.0014700366363636372,0.0015339512727272737,0.0015978659090909102,0.0016617805454545466,0.001725695181818183,0.0017896098181818196,0.001853524454545456,0.0019174390909090925,0.001981353727272729,0.002045268363636365,0.0021091830000000015
4,0.0,0.213925361,0.0064825866969696975,0.0,0.0064825866969696975,0.012965173393939395,0.019447760090909094,0.02593034678787879,0.032412933484848486,0.03889552018181818,0.04537810687878788,0.05186069357575757,0.05834328027272727,0.06482586696969697,0.07130845366666667,0.07779104036363638,0.08427362706060608,0.09075621375757578,0.09723880045454548,0.10372138715151519,0.11020397384848489,0.11668656054545459,0.1231691472424243,0.129651733939394,0.1361343206363637,0.14261690733333338,0.14909949403030306,0.15558208072727275,0.16206466742424244,0.16854725412121213,0.17502984081818182,0.1815124275151515,0.1879950142121212,0.1944776009090909,0.20096018760606058,0.20744277430303026,0.21392536099999995
5,0.0,0.139943488,0.004240711757575758,0.0,0.004240711757575758,0.008481423515151515,0.012722135272727274,0.01696284703030303,0.021203558787878787,0.025444270545454544,0.0296849823030303,0.03392569406060606,0.03816640581818182,0.04240711757575758,0.04664782933333334,0.0508885410909091,0.05512925284848486,0.05936996460606062,0.06361067636363638,0.06785138812121214,0.0720920998787879,0.07633281163636366,0.08057352339393942,0.08481423515151518,0.08905494690909094,0.0932956586666667,0.09753637042424246,0.10177708218181822,0.10601779393939398,0.11025850569696974,0.1144992174545455,0.11873992921212126,0.12298064096969702,0.12722135272727278,0.13146206448484854,0.1357027762424243,0.13994348800000006
6,0.0,0.00197195,5.975606060606061e-05,0.0,5.975606060606061e-05,0.00011951212121212122,0.00017926818181818183,0.00023902424242424244,0.00029878030303030306,0.00035853636363636365,0.00041829242424242424,0.00047804848484848483,0.0005378045454545455,0.0005975606060606061,0.0006573166666666668,0.0007170727272727274,0.0007768287878787881,0.0008365848484848487,0.0008963409090909093,0.00095609696969697,0.0010158530303030306,0.0010756090909090912,0.0011353651515151517,0.0011951212121212122,0.0012548772727272728,0.0013146333333333333,0.0013743893939393939,0.0014341454545454544,0.001493901515151515,0.0015536575757575755,0.001613413636363636,0.0016731696969696965,0.001732925757575757,0.0017926818181818176,0.0018524378787878782,0.0019121939393939387,0.0019719499999999992
7,0.0,0.067224877,0.002037117484848485,0.0,0.002037117484848485,0.00407423496969697,0.006111352454545455,0.00814846993939394,0.010185587424242425,0.012222704909090911,0.014259822393939397,0.016296939878787883,0.01833405736363637,0.020371174848484854,0.02240829233333334,0.024445409818181826,0.02648252730303031,0.028519644787878797,0.030556762272727283,0.032593879757575765,0.03463099724242425,0.03666811472727274,0.03870523221212122,0.04074234969696971,0.042779467181818194,0.04481658466666668,0.046853702151515166,0.04889081963636365,0.05092793712121214,0.05296505460606062,0.05500217209090911,0.057039289575757594,0.05907640706060608,0.061113524545454566,0.06315064203030304,0.06518775951515153,0.06722487700000002
8,0.0,0.045687717,0.0013844762727272728,0.0,0.0013844762727272728,0.0027689525454545456,0.004153428818181818,0.005537905090909091,0.006922381363636364,0.008306857636363636,0.009691333909090908,0.01107581018181818,0.012460286454545453,0.013844762727272725,0.015229238999999997,0.01661371527272727,0.017998191545454543,0.019382667818181817,0.02076714409090909,0.022151620363636364,0.02353609663636364,0.024920572909090912,0.026305049181818186,0.02768952545454546,0.029074001727272734,0.030458478000000008,0.03184295427272728,0.03322743054545455,0.034611906818181826,0.0359963830909091,0.03738085936363637,0.03876533563636365,0.04014981190909092,0.041534288181818195,0.04291876445454547,0.04430324072727274,0.04568771700000002
9,0.196073687,0.16385923,-0.0009761956666666668,0.196073687,0.19509749133333332,0.19412129566666664,0.19314509999999996,0.19216890433333328,0.1911927086666666,0.19021651299999992,0.18924031733333324,0.18826412166666656,0.18728792599999988,0.1863117303333332,0.18533553466666652,0.18435933899999984,0.18338314333333317,0.18240694766666649,0.1814307519999998,0.18045455633333313,0.17947836066666645,0.17850216499999977,0.1775259693333331,0.1765497736666664,0.17557357799999973,0.17459738233333305,0.17362118666666637,0.1726449909999997,0.171668795333333,0.17069259966666633,0.16971640399999965,0.16874020833333297,0.1677640126666663,0.16678781699999962,0.16581162133333294,0.16483542566666626,0.16385922999999958
